Plot,Year,Latitude,Longitude,spp1,rba1,spp2,rba2,CAR,CAR_sd,CEL,CEL_sd,ADF,ADF_sd,ADL,ADL_sd,LMA,LMA_sd,NIT,NIT_sd,N15,N15_sd,,
DC40,2011,43.071462,-89.489090,TIAM,0.31,QURU,0.18,48.10,0.381,14.75,0.680,34.01,2.383,20.53,1.108,90.62,5.227,2.85,0.133,-2.55,0.233,,
DC41,2010,43.155984,-89.387479,QUEL,0.33,CAOV,0.33,49.67,0.311,15.06,0.880,33.84,1.309,21.56,0.986,105.42,2.041,2.83,0.072,-2.54,0.416,,
DC41,2011,43.155959,-89.387501,QURU,0.32,CAOV,0.28,48.93,0.437,14.64,0.728,33.98,1.558,20.86,1.077,97.01,6.095,2.95,0.099,-2.04,0.410,,
DC42,2010,43.033988,-89.442340,PIST,0.79,PIRE,0.14,52.36,0.314,19.21,1.660,53.04,2.025,36.76,1.641,187.24,1.519,1.68,0.071,0.15,0.931,,
DC42,2011,43.034008,-89.442334,PIST,0.82,PIRE,0.13,51.36,0.528,16.29,1.742,41.68,3.329,25.07,1.901,169.18,19.590,1.68,0.147,0.32,0.960,,
DC43,2010,43.056480,-89.407122,ACSN,0.75,PODE,0.15,50.74,0.345,14.63,1.112,32.70,1.554,18.57,1.088,86.21,1.977,2.66,0.111,-2.11,0.750,,
DC43,2011,43.056529,-89.407033,ACSN,0.53,PODE,0.17,49.08,0.527,10.05,1.624,23.81,3.711,15.34,2.088,81.70,3.440,2.64,0.166,-1.41,0.631,,
DC44,2010,43.140370,-89.404621,QURU,0.47,QUAL,0.21,49.46,0.281,15.47,0.967,34.52,1.322,22.57,1.035,98.37,2.157,3.03,0.070,-2.92,0.308,,
DC44,2011,43.140404,-89.404640,QURU,0.54,FRAM,0.13,49.24,0.189,15.98,0.448,37.00,1.312,21.47,0.769,98.31,5.593,2.84,0.069,-3.13,0.251,,
DC45,2010,43.058659,-89.434529,QUAL,0.79,PRSE,0.10,49.86,0.266,15.15,1.263,29.84,1.999,18.26,1.594,105.01,1.454,2.86,0.066,-3.16,0.672,,
DC45,2011,43.058607,-89.434473,QUAL,0.81,ULAM,0.08,49.53,0.560,14.92,1.316,34.54,2.380,20.17,2.204,98.47,11.094,3.15,0.212,-3.44,0.705,,
DC49,2010,43.148241,-89.398224,PODE,0.66,ACNE,0.27,48.82,1.277,12.49,1.259,31.60,2.230,19.56,1.785,84.08,8.128,2.46,0.396,-0.53,0.699,,
